tweet_id,timestamp,text
1,2025-02-17T07:17:58Z,IKN diharapkan menjadi kota pintar berbasis teknologi modern.
2,2025-01-05T03:30:45Z,Isu lingkungan menjadi perhatian dalam pembangunan IKN.
3,2025-03-23T10:14:13Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
4,2025-02-09T22:47:50Z,Isu lingkungan menjadi perhatian dalam pembangunan IKN.
5,2025-03-13T06:32:50Z,Program penghijauan di kawasan IKN mulai menunjukkan hasil positif.
6,2025-03-23T20:49:05Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
7,2025-02-24T14:38:48Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
8,2025-01-05T13:53:23Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
9,2025-03-12T22:25:33Z,Investasi swasta untuk proyek IKN terus bertambah.
10,2025-01-06T04:45:44Z,Investasi swasta untuk proyek IKN terus bertambah.
11,2025-03-08T23:26:15Z,IKN diharapkan menjadi kota pintar berbasis teknologi modern.
12,2025-03-31T10:24:40Z,Pembangunan IKN terus berjalan sesuai rencana.
13,2025-01-06T17:49:19Z,Partisipasi masyarakat dalam proses pembangunan IKN sangat penting.
14,2025-02-17T19:59:49Z,Pembangunan IKN terus berjalan sesuai rencana.
15,2025-01-28T03:26:47Z,Isu lingkungan menjadi perhatian dalam pembangunan IKN.
16,2025-02-05T08:05:16Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
17,2025-03-24T13:49:26Z,IKN menawarkan peluang ekonomi baru bagi masyarakat.
18,2025-03-04T13:26:27Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
19,2025-02-28T00:45:08Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
20,2025-03-08T21:24:57Z,Program penghijauan di kawasan IKN mulai menunjukkan hasil positif.
21,2025-03-08T10:31:53Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
22,2025-03-17T03:57:54Z,Perpindahan ASN ke IKN direncanakan berlangsung secara bertahap.
23,2025-02-22T07:56:47Z,IKN diharapkan menjadi kota pintar berbasis teknologi modern.
24,2025-01-02T07:55:19Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
25,2025-02-12T11:56:44Z,Diskusi publik tentang IKN semakin meningkat di media sosial.
26,2025-01-15T02:49:20Z,Perpindahan ASN ke IKN direncanakan berlangsung secara bertahap.
27,2025-01-18T06:02:11Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
28,2025-01-25T11:39:54Z,Investasi swasta untuk proyek IKN terus bertambah.
29,2025-02-19T06:51:26Z,Isu lingkungan menjadi perhatian dalam pembangunan IKN.
30,2025-01-29T05:45:13Z,Program penghijauan di kawasan IKN mulai menunjukkan hasil positif.
31,2025-02-24T00:25:36Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
32,2025-03-07T18:03:01Z,Pemerintah mempercepat pembangunan fasilitas pendidikan di IKN.
33,2025-01-06T07:42:45Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
34,2025-01-16T08:15:36Z,Diskusi publik tentang IKN semakin meningkat di media sosial.
35,2025-02-15T13:38:30Z,IKN diharapkan menjadi kota pintar berbasis teknologi modern.
36,2025-02-26T19:15:04Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
37,2025-01-03T22:47:55Z,Kontroversi mengenai pendanaan proyek IKN masih menjadi perdebatan.
38,2025-03-19T16:37:24Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
39,2025-03-13T15:22:58Z,IKN menawarkan peluang ekonomi baru bagi masyarakat.
40,2025-02-21T13:30:56Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
41,2025-02-19T09:46:52Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
42,2025-03-12T12:18:28Z,Program penghijauan di kawasan IKN mulai menunjukkan hasil positif.
43,2025-01-28T19:52:58Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
44,2025-03-30T17:11:01Z,Partisipasi masyarakat dalam proses pembangunan IKN sangat penting.
45,2025-03-28T21:11:56Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
46,2025-02-19T00:13:23Z,Perpindahan ASN ke IKN direncanakan berlangsung secara bertahap.
47,2025-03-17T01:33:35Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
48,2025-01-31T16:10:58Z,Isu lingkungan menjadi perhatian dalam pembangunan IKN.
49,2025-01-31T07:29:25Z,IKN diharapkan menjadi kota pintar berbasis teknologi modern.
50,2025-01-14T18:16:07Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
51,2025-02-22T13:21:39Z,Perpindahan ASN ke IKN direncanakan berlangsung secara bertahap.
52,2025-03-16T11:36:02Z,Investasi swasta untuk proyek IKN terus bertambah.
53,2025-03-19T06:06:32Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
54,2025-02-09T20:17:28Z,Kontroversi mengenai pendanaan proyek IKN masih menjadi perdebatan.
55,2025-02-09T10:15:10Z,Program penghijauan di kawasan IKN mulai menunjukkan hasil positif.
56,2025-02-21T20:27:23Z,Isu lingkungan menjadi perhatian dalam pembangunan IKN.
57,2025-03-10T09:22:25Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
58,2025-03-24T20:30:20Z,Diskusi publik tentang IKN semakin meningkat di media sosial.
59,2025-03-04T15:29:38Z,IKN diharapkan menjadi kota pintar berbasis teknologi modern.
60,2025-03-10T19:35:39Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
61,2025-03-19T16:07:54Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
62,2025-01-24T01:30:06Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
63,2025-01-21T06:57:45Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
64,2025-02-07T22:57:09Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
65,2025-03-22T23:47:24Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
66,2025-03-31T19:26:19Z,Perpindahan ASN ke IKN direncanakan berlangsung secara bertahap.
67,2025-03-10T09:55:01Z,IKN menawarkan peluang ekonomi baru bagi masyarakat.
68,2025-02-20T09:35:11Z,Kontroversi mengenai pendanaan proyek IKN masih menjadi perdebatan.
69,2025-01-15T06:34:59Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
70,2025-03-25T19:49:04Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
71,2025-02-27T07:57:50Z,IKN menawarkan peluang ekonomi baru bagi masyarakat.
72,2025-01-08T00:51:26Z,Diskusi publik tentang IKN semakin meningkat di media sosial.
73,2025-01-31T03:00:54Z,Kontroversi mengenai pendanaan proyek IKN masih menjadi perdebatan.
74,2025-02-19T06:49:31Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
75,2025-01-02T20:48:23Z,Kontroversi mengenai pendanaan proyek IKN masih menjadi perdebatan.
76,2025-03-09T00:09:21Z,Diskusi publik tentang IKN semakin meningkat di media sosial.
77,2025-02-22T02:25:14Z,Investasi swasta untuk proyek IKN terus bertambah.
78,2025-02-01T08:34:59Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
79,2025-03-13T15:52:32Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
80,2025-03-04T12:40:59Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
81,2025-01-30T17:28:13Z,Publik menunggu informasi terbaru mengenai progres Ibu Kota Nusantara.
82,2025-02-02T08:15:34Z,Kekhawatiran publik mengenai dampak sosial IKN masih muncul.
83,2025-01-02T08:36:42Z,Proyek infrastruktur jalan dan hunian pekerja di IKN terus berkembang.
84,2025-03-06T09:18:50Z,IKN menawarkan peluang ekonomi baru bagi masyarakat.
85,2025-02-13T05:50:35Z,IKN diharapkan menjadi simbol kemajuan Indonesia.
